"","viento","direccion","temperatura","humedad"
"1",5.9,103,14.85,15
"2",4.9,96,11.05,18
"3",6.6,85,12.25,21
"4",5.6,94,11.25,19
"5",5.4,91,10.95,20
"6",6.4,89,10.25,21
"7",7.9,91,9.85,22
"8",6.9,90,12.85,20
"9",8.4,71,17.95,13
"10",5.3,53,21.35,9
"11",5.6,285,22.05,13
"12",6.6,280,22.35,14
"13",7,293,23.55,13
"14",7.2,278,24.25,11
"15",6.6,284,25.75,10
"16",6.1,280,25.95,8
"17",6.2,275,26.75,7
"18",7.6,251,27.35,6
"19",8.9,230,24.45,15
"20",6.6,229,22.05,18
"21",5.8,293,19.25,16
"22",2.6,301,16.05,25
"23",2.3,135,15.25,25
"24",2.8,89,14.55,21
"25",4.6,92,12.45,24
"26",5,91,12.15,26
"27",5.2,96,12.05,25
"28",8.9,81,9.45,29
"29",5.8,93,8.75,30
"30",5.9,96,9.65,29
"31",2.5,75,9.55,28
"32",5,92,11.75,26
"33",3.8,69,16.15,20
"34",2.5,277,19.65,17
"35",6.1,285,19.35,18
"36",6.3,279,20.05,22
"37",6.3,281,21.15,18
"38",7.7,285,21.85,16
"39",6.4,276,22.85,13
"40",6.9,287,23.35,11
"41",6.6,281,24.45,10
"42",5.8,294,23.85,11
"43",7.2,277,23.35,14
"44",6.2,272,21.15,18
"45",3.4,215,18.55,19
"46",3.9,200,17.05,20
"47",3.1,175,15.95,22
"48",2.7,196,13.85,30
"49",1.7,195,12.95,29
"50",3.2,202,11.75,30
"51",4.7,161,11.15,28
"52",5.2,155,11.55,34
"53",5.6,102,10.25,37
"54",8.5,83,9.35,36
"55",7.1,80,10.15,34
"56",6.3,86,12.25,31
"57",6.9,80,16.05,25
"58",1.9,22,19.35,20
"59",4.2,269,21.35,19
"60",5.7,291,21.75,22
"61",5.6,279,22.75,21
"62",6.6,286,23.65,19
"63",6.4,299,24.85,18
"64",7.4,295,25.45,17
"65",7,289,26.15,16
"66",5.5,290,26.35,14
"67",6.1,284,26.35,14
"68",6.7,262,24.35,17
"69",5.3,264,20.55,21
"70",2.2,230,18.25,25
"71",1,230,16.55,28
"72",1.8,195,15.65,29
"73",1.2,193,14.95,31
"74",1.7,234,14.25,29
"75",3.2,219,13.05,28
"76",2.1,199,11.75,31
"77",4.3,165,12.45,34
"78",5.6,91,11.15,33
"79",6.5,100,12.65,32
"80",7.4,83,14.15,32
"81",7.3,82,17.55,29
"82",3.5,60,20.35,27
"83",2.7,239,22.35,25
"84",6.3,287,22.85,24
"85",6.6,279,23.35,23
"86",8.3,281,23.65,20
"87",8.5,283,24.05,22
"88",7.1,285,24.45,23
"89",5.6,276,24.85,22
"90",6.8,288,24.75,21
"91",7.5,278,24.45,20
"92",6,289,22.25,25
"93",5.7,247,19.75,30
"94",5,206,18.15,33
"95",3,217,17.35,36
"96",1.5,257,16.05,38
"97",1.8,274,13.75,34
"98",3.3,124,13.25,34
"99",3.5,151,12.35,41
"100",2.9,172,12.15,41
"101",3.1,166,12.15,44
"102",4.7,99,11.85,45
"103",4.2,99,13.05,47
"104",5.2,84,13.45,41
"105",1,61,17.65,34
"106",3.3,314,18.15,34
"107",5.3,284,19.25,30
"108",6.6,274,20.05,31
"109",7.6,281,21.45,27
"110",7.5,271,22.75,25
"111",7.4,287,23.25,24
"112",7.9,307,23.25,23
"113",8.3,287,23.75,23
"114",8.1,279,23.25,25
"115",7.2,290,22.45,24
"116",6.7,272,20.85,24
"117",5.1,261,19.45,29
"118",3.8,238,17.75,30
"119",4,203,16.15,29
"120",3.2,254,15.35,32
"121",1.3,52,13.55,32
"122",1.9,112,13.35,30
"123",4.4,102,12.95,36
"124",5.5,97,12.15,42
"125",8.2,82,11.35,41
"126",7.8,78,13.45,40
"127",8.6,71,13.95,39
"128",8.2,60,15.55,36
"129",10.7,77,18.35,32
"130",7.6,71,21.05,27
"131",6.4,290,23.35,28
"132",7.3,285,22.45,23
"133",7.5,285,22.65,23
"134",7.7,279,23.65,22
"135",7.6,288,24.45,21
"136",7.4,272,25.15,21
"137",8,278,25.35,19
"138",8.1,282,24.95,18
"139",9.5,282,23.05,17
"140",8.4,261,21.25,16
"141",4.4,246,18.35,11
"142",1.5,321,16.95,13
"143",0.5,354,15.75,15
"144",1.2,112,15.25,16
"145",3.8,94,14.25,15
"146",7.9,85,12.95,22
"147",4.8,94,13.35,21
"148",2.3,14,12.95,26
"149",4.6,83,12.65,23
"150",8,86,11.25,24
"151",9,82,11.25,27
"152",8.8,79,14.25,25
"153",9.8,78,18.25,22
"154",7.5,64,20.75,20
"155",4.2,297,23.35,21
"156",6.4,283,23.05,17
"157",7.6,281,23.75,18
"158",7.1,285,24.25,21
"159",9,284,25.05,21
"160",8.1,282,25.85,20
"161",10,288,26.25,18
"162",10.2,262,24.65,20
"163",8.9,292,23.05,25
