"","viento","direccion","temperatura","humedad"
"1",8.7,75,8.75,26
"2",9.4,77,7.95,26
"3",9.7,84,8.85,26
"4",10.1,78,7.85,26
"5",9.2,79,7.45,27
"6",12,80,6.45,27
"7",11.7,73,5.55,29
"8",8.9,92,8.35,24
"9",7.7,80,15.75,18
"10",2.2,50,20.45,13
"11",7.3,267,20.75,16
"12",6.7,269,21.05,13
"13",5.8,265,21.95,14
"14",7.1,260,23.25,13
"15",7.6,261,23.75,12
"16",8.1,246,24.55,11
"17",7.5,260,24.45,13
"18",7.7,252,23.55,14
"19",9.2,265,20.95,22
"20",6.3,249,18.25,24
"21",2.3,247,16.25,25
"22",3.6,78,15.45,26
"23",3,118,13.65,27
"24",8.9,81,9.75,31
"25",8.6,82,9.35,32
"26",9.6,73,7.85,31
"27",7.9,75,9.35,28
"28",8.7,84,8.45,31
"29",9.5,78,4.75,35
"30",9.6,72,5.65,34
"31",9.5,83,5.95,34
"32",9.5,79,8.45,30
"33",4.2,51,15.15,20
"34",5.2,274,17.45,20
"35",4.9,271,17.95,21
"36",6.1,250,18.65,20
"37",7,259,19.95,18
"38",8.4,268,20.55,18
"39",7.8,272,21.45,15
"40",8.5,275,22.05,11
"41",8.6,270,22.95,11
"42",9.3,270,22.65,21
"43",7.6,255,20.55,28
"44",5,250,18.35,32
"45",3.8,276,16.55,37
"46",2.2,294,14.85,41
"47",2,101,13.65,38
"48",3.1,98,11.95,39
"49",3.1,96,10.35,42
"50",2.6,90,8.85,45
"51",4.5,91,6.75,46
"52",2.3,101,8.75,47
"53",6.6,76,5.55,52
"54",7.1,83,6.05,54
"55",10.6,84,5.15,50
"56",6.9,72,9.95,46
"57",6.4,59,14.35,37
"58",4.7,284,17.35,30
"59",4.6,255,18.95,26
"60",4.4,255,20.35,24
"61",5.8,253,21.75,22
"62",7.9,266,23.05,20
"63",7.8,248,24.05,20
"64",7.2,257,24.45,19
"65",7.9,254,24.45,20
"66",9,287,25.15,18
"67",8.2,253,22.35,23
"68",4.2,249,19.95,26
"69",1.6,244,18.65,28
"70",2.9,277,16.25,32
"71",2.2,188,14.95,34
"72",2.2,105,15.15,33
"73",2.7,206,13.75,36
"74",3.8,179,13.35,39
"75",2.7,203,12.65,41
"76",1.5,182,11.35,42
"77",4,78,9.45,46
"78",5.6,86,6.65,49
"79",6,76,6.65,49
"80",8,82,8.45,45
"81",7.1,75,14.25,34
"82",1.8,67,18.15,30
"83",2.8,277,20.45,28
"84",4.2,236,21.85,25
"85",7.1,265,22.45,26
"86",7.3,262,22.85,25
"87",9.1,280,23.45,22
"88",9.1,282,23.65,20
"89",8.1,271,23.75,19
"90",9.1,285,23.85,18
"91",8.6,261,22.05,25
"92",6.5,245,19.75,32
"93",5.1,248,17.75,38
"94",3.1,251,16.05,42
"95",2,178,15.15,41
"96",3.8,156,14.45,44
"97",0.8,3,12.95,43
"98",2,147,11.65,45
"99",1.7,75,10.65,46
"100",6.2,81,8.75,53
"101",3.5,107,9.15,53
"102",3.4,101,8.35,50
