"","viento","direccion","temperatura","humedad"
"1",5.5,10,16.45,13
"2",6.6,18,13.95,21
"3",7.3,9,15.35,20
"4",6.5,21,15.65,20
"5",9.7,12,13.75,18
"6",10.3,14,14.05,14
"7",9.5,23,14.25,12
"8",3.7,49,15.95,11
"9",1.2,176,18.25,12
"10",2.8,152,20.45,10
"11",3.3,196,23.75,9
"12",3.8,237,25.45,7
"13",4,235,26.55,5
"14",7.1,222,26.35,7
"15",8.3,229,25.55,8
"16",8.5,219,24.15,9
"17",7.7,225,23.25,10
"18",7.3,214,22.65,12
"19",5.9,208,22.05,13
"20",5.4,208,20.85,18
"21",1.7,203,18.65,23
"22",0.7,90,17.35,21
"23",2.9,340,17.85,21
"24",4,348,17.45,19
"25",4.2,6,16.95,25
"26",1.4,355,17.15,25
"27",2.6,11,16.35,28
"28",3.5,12,16.15,26
"29",3.1,28,16.05,26
"30",2.3,19,15.55,28
"31",3.5,27,15.05,28
"32",5.1,12,15.05,27
"33",1.4,336,18.35,21
"34",3,178,20.35,18
"35",5,186,22.25,12
"36",5.2,192,24.25,9
"37",8.8,210,25.85,6
"38",9.1,210,25.35,12
"39",9.2,202,25.05,10
"40",8.5,198,24.45,12
"41",9.1,197,23.95,13
"42",8.4,203,22.85,11
"43",8.4,212,21.85,15
"44",4.8,223,20.55,21
"45",0.3,234,18.45,25
"46",1.4,114,17.85,24
"47",1.5,6,18.65,28
"48",5.1,8,17.75,27
"49",11.1,10,13.65,35
"50",11.9,7,13.55,31
"51",12.8,13,12.55,33
"52",12.4,9,11.95,36
"53",13.2,10,12.35,34
"54",14.3,12,11.35,36
"55",13.4,10,10.95,38
"56",13.2,8,13.95,34
"57",12.9,2,16.85,26
"58",9.9,6,20.65,17
"59",3.7,6,24.35,11
"60",6.7,213,24.75,10
"61",4.7,266,24.95,10
"62",6.6,213,25.25,11
"63",5.7,209,25.15,14
"64",6,206,25.55,14
"65",6.5,206,25.55,15
"66",7,217,24.75,15
"67",6.1,216,23.15,14
