"","viento","direccion","temperatura","humedad"
"1",4.4,273,-5.45,47
"2",4,255,-5.25,48
"3",6.4,259,-3.55,42
"4",4.4,290,-4.65,40
"5",4.9,306,-7.15,40
"6",5.9,282,-7.35,42
"7",8.9,273,-5.15,42
"8",10.6,289,-5.35,43
"9",8.4,243,-3.65,40
"10",11.8,267,-0.75,32
"11",13.1,270,1.55,19
"12",13.2,260,3.25,14
"13",12.7,268,4.35,13
"14",11.9,257,4.35,14
"15",14.1,259,4.35,13
"16",15.8,271,3.85,14
"17",11.4,258,3.25,19
"18",13.8,240,2.05,22
"19",12,249,-0.25,27
"20",12.8,251,-1.45,31
"21",11.4,264,-1.75,31
"22",10,251,-2.15,33
"23",8.8,267,-5.75,45
"24",8.3,281,-5.35,47
"25",7.3,276,-5.45,50
"26",2.8,295,-4.55,49
"27",2.5,261,-5.75,49
"28",2.5,337,-4.85,52
"29",4.2,293,-6.35,48
"30",2.9,261,-4.75,37
"31",4.7,238,-7.95,44
"32",4.3,249,-7.95,51
"33",4.7,235,-3.05,31
"34",4.6,242,-0.85,25
"35",7.7,264,0.85,18
"36",8.3,279,2.35,14
"37",11.3,284,2.95,12
"38",12,291,3.25,13
"39",10.4,270,2.75,19
"40",11.1,269,2.85,18
"41",10.8,299,2.25,20
"42",9.9,288,1.25,25
"43",7.5,299,-1.25,31
"44",6.5,300,-1.85,32
"45",5.6,312,-2.45,47
"46",7.4,329,-1.85,46
"47",9.1,333,-1.55,43
"48",6.8,336,-1.55,37
"49",5.5,322,-1.95,39
"50",5.3,324,-2.55,33
"51",7.2,317,-3.15,35
"52",5.1,313,-3.85,39
"53",4.6,307,-3.35,43
"54",8.8,301,-3.05,39
"55",6.7,291,-3.65,47
"56",7.2,284,-3.75,56
"57",7.4,297,-1.95,41
"58",6,308,-0.05,36
"59",10.3,318,1.35,30
"60",10.7,307,2.75,21
"61",14.3,283,3.45,23
"62",11.9,290,3.75,27
"63",9.5,292,1.95,32
"64",11.7,295,2.35,31
"65",12.5,285,1.95,27
"66",10.1,298,1.05,32
"67",8.7,293,-0.05,36
"68",9.4,289,-0.85,38
"69",8,290,-1.45,41
"70",2.1,291,-2.45,43
"71",5.8,317,-1.85,45
"72",9.6,319,-1.25,42
"73",11.6,322,-1.15,41
"74",8.9,322,-1.35,39
"75",6.5,317,-2.55,42
"76",7.2,323,-2.75,41
"77",7.9,312,-2.65,39
"78",5,323,-3.45,38
"79",6.5,324,-3.15,36
"80",5.9,322,-2.85,33
"81",9.4,324,-1.35,32
"82",12.2,316,0.05,30
"83",12.7,319,1.35,30
"84",11.2,319,1.75,37
"85",13.9,318,2.15,37
"86",13.4,307,2.05,37
"87",11.3,308,-0.35,63
"88",9.7,314,-1.35,62
"89",8.5,313,-2.35,64
"90",8.2,317,-2.95,65
"91",9,329,-3.55,65
"92",7.7,317,-4.45,67
"93",16.8,333,-5.25,69
"94",13.3,326,-5.25,72
"95",2.9,299,-6.65,76
"96",3.6,300,-6.05,78
"97",8.7,314,-5.95,78
"98",9.9,330,-6.05,79
"99",14.5,326,-6.85,80
"100",8.9,326,-6.95,81
"101",9.5,318,-7.45,82
"102",3,271,-9.05,81
"103",4.4,217,-8.95,80
"104",3.8,210,-8.65,78
"105",5.8,268,-5.55,74
"106",6.4,261,-5.25,71
"107",7.6,267,-4.35,69
"108",8.3,304,-3.65,68
"109",11.9,317,-2.85,67
"110",10.8,311,-1.65,61
"111",11,300,-1.35,58
"112",11.7,290,-1.55,50
"113",9.6,277,-1.75,44
"114",7.9,280,-2.45,37
"115",5.7,284,-5.65,34
"116",2.6,252,-8.35,33
"117",6.7,287,-6.65,37
"118",3.6,286,-9.75,39
"119",7.2,278,-9.05,47
"120",6.3,251,-8.25,40
"121",6.8,240,-9.25,42
"122",2.8,260,-8.45,36
"123",7.3,228,-9.05,38
"124",7.6,246,-9.95,33
"125",8.1,252,-10.55,34
"126",6.6,253,-9.95,32
"127",7.3,243,-9.65,28
"128",5.2,273,-9.85,21
"129",1.1,291,-8.35,23
"130",0.5,58,-3.95,23
"131",1.1,289,-1.85,19
"132",3.3,199,1.55,8
"133",10.3,280,2.95,9
"134",10,281,3.45,7
"135",9.8,287,3.55,7
"136",7.5,290,3.85,6
"137",7.8,277,3.25,5
"138",8.4,279,1.55,6
"139",8.6,269,-1.95,9
"140",9.2,260,-2.85,10
"141",8.9,294,-4.75,11
"142",7,285,-4.15,11
"143",8.1,294,-5.15,13
"144",9.7,283,-4.05,11
"145",9.3,292,-5.25,11
"146",6.7,272,-5.35,12
